epoch,accuracy,false_negatives,false_positives,loss,precision,recall,sensitivity_at_specificity_1,specificity_at_sensitivity_1,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_sensitivity_at_specificity_1,val_specificity_at_sensitivity_1,val_true_negatives,val_true_positives
38,1.0,0.0,0.0,5.4264262871583924e-05,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9807897806167603,18.0,18.0,0.15629301965236664,0.9807897806167603,0.9807897806167603,0.9839914441108704,0.9839914441108704,919.0,919.0
39,1.0,0.0,0.0,5.14513194502797e-05,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9818570017814636,17.0,17.0,0.16418632864952087,0.9818570017814636,0.9818570017814636,0.9839914441108704,0.9839914441108704,920.0,920.0
40,1.0,0.0,0.0,4.243071816745214e-05,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9818570017814636,17.0,17.0,0.1663723737001419,0.9818570017814636,0.9818570017814636,0.9839914441108704,0.9839914441108704,920.0,920.0
41,1.0,0.0,0.0,4.16478214901872e-05,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9807897806167603,18.0,18.0,0.16893744468688965,0.9807897806167603,0.9807897806167603,0.982924222946167,0.982924222946167,919.0,919.0
42,1.0,0.0,0.0,8.25971073936671e-05,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9775880575180054,21.0,21.0,0.19982942938804626,0.9775880575180054,0.9775880575180054,0.9818570017814636,0.9818570017814636,916.0,916.0
43,1.0,0.0,0.0,0.00010635968646965921,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9797224998474121,19.0,19.0,0.17103160917758942,0.9797224998474121,0.9797224998474121,0.9839914441108704,0.9839914441108704,918.0,918.0
44,0.9974424839019775,7.0,7.0,0.008850157260894775,0.9974424839019775,0.9974424839019775,0.9992692470550537,0.9992692470550537,2730.0,2730.0,0.9797224998474121,19.0,19.0,0.13017842173576355,0.9797224998474121,0.9797224998474121,0.9882603883743286,0.9882603883743286,918.0,918.0
45,0.9978078007698059,6.0,6.0,0.005372845567762852,0.9978078007698059,0.9978078007698059,0.9996346235275269,0.9996346235275269,2731.0,2731.0,0.9679829478263855,30.0,30.0,0.3186282813549042,0.9679829478263855,0.9679829478263855,0.9701173901557922,0.9701173901557922,907.0,907.0
46,0.9967117309570312,9.0,9.0,0.010389627888798714,0.9967117309570312,0.9967117309570312,0.9992692470550537,0.9992692470550537,2728.0,2728.0,0.9679829478263855,30.0,30.0,0.2862972915172577,0.9679829478263855,0.9679829478263855,0.9711846113204956,0.9711846113204956,907.0,907.0
47,0.9996346235275269,1.0,1.0,0.001714674406684935,0.9996346235275269,0.9996346235275269,1.0,1.0,2736.0,2736.0,0.976520836353302,22.0,22.0,0.11698292940855026,0.976520836353302,0.976520836353302,0.9871931672096252,0.9871931672096252,915.0,915.0
48,1.0,0.0,0.0,0.0003330322215333581,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9775880575180054,21.0,21.0,0.15620864927768707,0.9775880575180054,0.9775880575180054,0.982924222946167,0.982924222946167,916.0,916.0
49,1.0,0.0,0.0,0.0005777081823907793,1.0,1.0,1.0,1.0,2737.0,2737.0,0.9754535555839539,23.0,23.0,0.16586677730083466,0.9754535555839539,0.9754535555839539,0.9797224998474121,0.9797224998474121,914.0,914.0
