epoch,accuracy,false_negatives,false_positives,loss,precision,recall,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.9315476417541504,138.0,138.0,0.5440115332603455,0.9315476417541504,0.9315476417541504,0.9548611044883728,0.9548611044883728,1878.0,1878.0,0.5,337.0,337.0,2.9895761013031006,0.5,0.5,0.5,0.5,337.0,337.0
1,0.9751983880996704,50.0,50.0,0.10591845214366913,0.9751983880996704,0.9751983880996704,0.9900793433189392,0.9900793433189392,1966.0,1966.0,0.7670623064041138,157.0,157.0,0.9985979199409485,0.7670623064041138,0.7670623064041138,0.8649851679801941,0.8649851679801941,517.0,517.0
2,0.9682539701461792,64.0,64.0,0.17703686654567719,0.9682539701461792,0.9682539701461792,0.9841269850730896,0.9841269850730896,1952.0,1952.0,0.7462908029556274,171.0,171.0,0.8523846864700317,0.7462908029556274,0.7462908029556274,0.8783382773399353,0.8783382773399353,503.0,503.0
3,0.9702380895614624,60.0,60.0,0.15448366105556488,0.9702380895614624,0.9702380895614624,0.9871031641960144,0.9871031641960144,1956.0,1956.0,0.8931750655174255,72.0,72.0,0.6275238394737244,0.8931750655174255,0.8931750655174255,0.937685489654541,0.937685489654541,602.0,602.0
4,0.97817462682724,44.0,44.0,0.13345012068748474,0.97817462682724,0.97817462682724,0.988095223903656,0.988095223903656,1972.0,1972.0,0.9910979270935059,6.0,6.0,0.03960401192307472,0.9910979270935059,0.9910979270935059,0.9940652847290039,0.9940652847290039,668.0,668.0
5,0.9771825671195984,46.0,46.0,0.09282931685447693,0.9771825671195984,0.9771825671195984,0.9930555820465088,0.9930555820465088,1970.0,1970.0,0.9762611389160156,16.0,16.0,0.12011955678462982,0.9762611389160156,0.9762611389160156,0.9851632118225098,0.9851632118225098,658.0,658.0
6,0.9836309552192688,33.0,33.0,0.09521216154098511,0.9836309552192688,0.9836309552192688,0.9935516119003296,0.9935516119003296,1983.0,1983.0,0.9777448177337646,15.0,15.0,0.15174797177314758,0.9777448177337646,0.9777448177337646,0.9836795330047607,0.9836795330047607,659.0,659.0
7,0.985615074634552,29.0,29.0,0.0969562828540802,0.985615074634552,0.985615074634552,0.9940476417541504,0.9940476417541504,1987.0,1987.0,0.9925816059112549,5.0,5.0,0.030509397387504578,0.9925816059112549,0.9925816059112549,0.998516321182251,0.998516321182251,669.0,669.0
8,0.9866071343421936,27.0,27.0,0.0562501922249794,0.9866071343421936,0.9866071343421936,0.9945436716079712,0.9945436716079712,1989.0,1989.0,0.9940652847290039,4.0,4.0,0.05265526846051216,0.9940652847290039,0.9940652847290039,0.9955489635467529,0.9955489635467529,670.0,670.0
9,0.9871031641960144,26.0,26.0,0.06453030556440353,0.9871031641960144,0.9871031641960144,0.995039701461792,0.995039701461792,1990.0,1990.0,0.8011869192123413,134.0,134.0,2.509265422821045,0.8011869192123413,0.8011869192123413,0.8308605551719666,0.8308605551719666,540.0,540.0
10,0.9826388955116272,35.0,35.0,0.11021771281957626,0.9826388955116272,0.9826388955116272,0.9900793433189392,0.9900793433189392,1981.0,1981.0,0.9658753871917725,23.0,23.0,0.32021424174308777,0.9658753871917725,0.9658753871917725,0.9821958541870117,0.9821958541870117,651.0,651.0
11,0.9871031641960144,26.0,26.0,0.06767401844263077,0.9871031641960144,0.9871031641960144,0.9940476417541504,0.9940476417541504,1990.0,1990.0,1.0,0.0,0.0,0.0015623338986188173,1.0,1.0,1.0,1.0,674.0,674.0
12,0.9866071343421936,27.0,27.0,0.047098558396101,0.9866071343421936,0.9866071343421936,0.9960317611694336,0.9960317611694336,1989.0,1989.0,0.9688427448272705,21.0,21.0,0.21695107221603394,0.9688427448272705,0.9688427448272705,0.9777448177337646,0.9777448177337646,653.0,653.0
13,0.9885912537574768,23.0,23.0,0.04085724800825119,0.9885912537574768,0.9885912537574768,0.9960317611694336,0.9960317611694336,1993.0,1993.0,0.5,337.0,337.0,26.58338165283203,0.5,0.5,0.6632047295570374,0.5,337.0,337.0
14,0.9871031641960144,26.0,26.0,0.04252628982067108,0.9871031641960144,0.9871031641960144,0.9945436716079712,0.9945436716079712,1990.0,1990.0,0.5,337.0,337.0,57.71060562133789,0.5,0.5,0.5,0.5,337.0,337.0
15,0.9801587462425232,40.0,40.0,0.06448286026716232,0.9801587462425232,0.9801587462425232,0.9915674328804016,0.9915674328804016,1976.0,1976.0,0.9910979270935059,6.0,6.0,0.06621832400560379,0.9910979270935059,0.9910979270935059,0.9940652847290039,0.9940652847290039,668.0,668.0
16,0.9895833134651184,21.0,21.0,0.04324807599186897,0.9895833134651184,0.9895833134651184,0.9960317611694336,0.9960317611694336,1995.0,1995.0,0.9925816059112549,5.0,5.0,0.026378221809864044,0.9925816059112549,0.9925816059112549,0.998516321182251,0.998516321182251,669.0,669.0
17,0.9875991940498352,25.0,25.0,0.06015009805560112,0.9875991940498352,0.9875991940498352,0.9965277910232544,0.9965277910232544,1991.0,1991.0,0.6186943650245667,257.0,257.0,11.09070110321045,0.6186943650245667,0.6186943650245667,0.9362017512321472,0.640949547290802,417.0,417.0
18,0.9900793433189392,20.0,20.0,0.050070762634277344,0.9900793433189392,0.9900793433189392,0.9970238208770752,0.9970238208770752,1996.0,1996.0,0.6246290802955627,253.0,253.0,18.157957077026367,0.6246290802955627,0.6246290802955627,0.6454005837440491,0.6454005837440491,421.0,421.0
19,0.988095223903656,24.0,24.0,0.0793074443936348,0.988095223903656,0.988095223903656,0.9930555820465088,0.9930555820465088,1992.0,1992.0,0.9925816059112549,5.0,5.0,0.02283899113535881,0.9925816059112549,0.9925816059112549,0.998516321182251,0.998516321182251,669.0,669.0
20,0.9851190447807312,30.0,30.0,0.07937679439783096,0.9851190447807312,0.9851190447807312,0.9940476417541504,0.9940476417541504,1986.0,1986.0,0.9807121753692627,13.0,13.0,0.05752763897180557,0.9807121753692627,0.9807121753692627,0.998516321182251,0.998516321182251,661.0,661.0
21,0.99057537317276,19.0,19.0,0.033995456993579865,0.99057537317276,0.99057537317276,0.9970238208770752,0.9970238208770752,1997.0,1997.0,0.8887240290641785,75.0,75.0,1.349536418914795,0.8887240290641785,0.8887240290641785,0.9154302477836609,0.9154302477836609,599.0,599.0
22,0.9920634627342224,16.0,16.0,0.03222960978746414,0.9920634627342224,0.9920634627342224,0.9970238208770752,0.9970238208770752,2000.0,2000.0,0.997032642364502,2.0,2.0,0.008135305717587471,0.997032642364502,0.997032642364502,1.0,1.0,672.0,672.0
23,0.9890872836112976,22.0,22.0,0.057062938809394836,0.9890872836112976,0.9890872836112976,0.9960317611694336,0.9960317611694336,1994.0,1994.0,0.9183976054191589,55.0,55.0,2.1995747089385986,0.9183976054191589,0.9183976054191589,0.9836795330047607,0.9183976054191589,619.0,619.0
24,0.9875991940498352,25.0,25.0,0.09979891031980515,0.9875991940498352,0.9875991940498352,0.992559552192688,0.992559552192688,1991.0,1991.0,0.8308605551719666,114.0,114.0,2.689164400100708,0.8308605551719666,0.8308605551719666,0.9925816059112549,0.8501483798027039,560.0,560.0
25,0.9885912537574768,23.0,23.0,0.036545298993587494,0.9885912537574768,0.9885912537574768,0.9960317611694336,0.9960317611694336,1993.0,1993.0,0.8056379556655884,131.0,131.0,2.96468186378479,0.8056379556655884,0.8056379556655884,0.8278931975364685,0.8278931975364685,543.0,543.0
26,0.9935516119003296,13.0,13.0,0.023803867399692535,0.9935516119003296,0.9935516119003296,0.9990079402923584,0.9990079402923584,2003.0,2003.0,0.9940652847290039,4.0,4.0,0.013456244021654129,0.9940652847290039,0.9940652847290039,0.998516321182251,0.998516321182251,670.0,670.0
27,0.988095223903656,24.0,24.0,0.04351239651441574,0.988095223903656,0.988095223903656,0.9965277910232544,0.9965277910232544,1992.0,1992.0,0.9896142482757568,7.0,7.0,0.14113369584083557,0.9896142482757568,0.9896142482757568,0.9955489635467529,0.9955489635467529,667.0,667.0
28,0.9930555820465088,14.0,14.0,0.023916013538837433,0.9930555820465088,0.9930555820465088,0.9980158805847168,0.9980158805847168,2002.0,2002.0,0.997032642364502,2.0,2.0,0.016098367050290108,0.997032642364502,0.997032642364502,0.998516321182251,0.998516321182251,672.0,672.0
29,0.9935516119003296,13.0,13.0,0.018880367279052734,0.9935516119003296,0.9935516119003296,0.9990079402923584,0.9990079402923584,2003.0,2003.0,1.0,0.0,0.0,0.0012995663564652205,1.0,1.0,1.0,1.0,674.0,674.0
30,0.992559552192688,15.0,15.0,0.01959906332194805,0.992559552192688,0.992559552192688,0.9985119104385376,0.9985119104385376,2001.0,2001.0,0.997032642364502,2.0,2.0,0.008872008882462978,0.997032642364502,0.997032642364502,0.998516321182251,0.998516321182251,672.0,672.0
31,0.9940476417541504,12.0,12.0,0.01588316634297371,0.9940476417541504,0.9940476417541504,0.9990079402923584,0.9990079402923584,2004.0,2004.0,0.9362017512321472,43.0,43.0,1.013616681098938,0.9362017512321472,0.9362017512321472,0.998516321182251,0.9436202049255371,631.0,631.0
32,0.992559552192688,15.0,15.0,0.01572813279926777,0.992559552192688,0.992559552192688,0.9990079402923584,0.9990079402923584,2001.0,2001.0,0.5563797950744629,299.0,299.0,20.02681541442871,0.5563797950744629,0.5563797950744629,0.7863501310348511,0.56083083152771,375.0,375.0
33,0.9920634627342224,16.0,16.0,0.03402676433324814,0.9920634627342224,0.9920634627342224,0.997519850730896,0.997519850730896,2000.0,2000.0,0.9896142482757568,7.0,7.0,0.14141909778118134,0.9896142482757568,0.9896142482757568,1.0,0.9925816059112549,667.0,667.0
34,0.9895833134651184,21.0,21.0,0.0514926053583622,0.9895833134651184,0.9895833134651184,0.9955357313156128,0.9955357313156128,1995.0,1995.0,0.9896142482757568,7.0,7.0,0.02795686386525631,0.9896142482757568,0.9896142482757568,0.998516321182251,0.998516321182251,667.0,667.0
