epoch,accuracy,false_negatives,false_positives,loss,precision,recall,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.8806250095367432,191.0,191.0,0.3846942186355591,0.8806250095367432,0.8806250095367432,0.9743750095367432,0.9743750095367432,1409.0,1409.0,0.9165003299713135,251.0,251.0,0.32329562306404114,0.9165003299713135,0.9165003299713135,0.9647371768951416,0.9647371768951416,2755.0,2755.0
1,0.9231250286102295,123.0,123.0,0.20472115278244019,0.9231250286102295,0.9231250286102295,0.984375,0.984375,1477.0,1477.0,0.924484372138977,227.0,227.0,0.23215752840042114,0.924484372138977,0.924484372138977,0.976713240146637,0.976713240146637,2779.0,2779.0
2,0.9387500286102295,98.0,98.0,0.17113468050956726,0.9387500286102295,0.9387500286102295,0.9893749952316284,0.9893749952316284,1502.0,1502.0,0.9367930889129639,190.0,190.0,0.17594005167484283,0.9367930889129639,0.9367930889129639,0.9856953024864197,0.9856953024864197,2816.0,2816.0
3,0.9393749833106995,97.0,97.0,0.15338163077831268,0.9393749833106995,0.9393749833106995,0.9918749928474426,0.9918749928474426,1503.0,1503.0,0.9304723739624023,209.0,209.0,0.17950904369354248,0.9304723739624023,0.9304723739624023,0.9920159578323364,0.9920159578323364,2797.0,2797.0
4,0.9381250143051147,99.0,99.0,0.1602744460105896,0.9381250143051147,0.9381250143051147,0.9893749952316284,0.9893749952316284,1501.0,1501.0,0.857950747013092,427.0,427.0,0.33813536167144775,0.857950747013092,0.857950747013092,0.9730538725852966,0.9730538725852966,2579.0,2579.0
5,0.9431250095367432,91.0,91.0,0.14832277595996857,0.9431250095367432,0.9431250095367432,0.9931250214576721,0.9931250214576721,1509.0,1509.0,0.9357950687408447,193.0,193.0,0.16621531546115875,0.9357950687408447,0.9357950687408447,0.9896872639656067,0.9896872639656067,2813.0,2813.0
6,0.939223051071167,97.0,97.0,0.16441433131694794,0.939223051071167,0.939223051071167,0.9912280440330505,0.9912280440330505,1499.0,1499.0,0.9384564161300659,185.0,185.0,0.17053081095218658,0.9384564161300659,0.9384564161300659,0.986693263053894,0.986693263053894,2821.0,2821.0
7,0.9399999976158142,96.0,96.0,0.16029983758926392,0.9399999976158142,0.9399999976158142,0.9893749952316284,0.9893749952316284,1504.0,1504.0,0.9451097846031189,165.0,165.0,0.1582603007555008,0.9451097846031189,0.9451097846031189,0.986693263053894,0.986693263053894,2841.0,2841.0
