epoch,accuracy,false_negatives,false_positives,loss,precision,recall,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.9489087462425232,103.0,103.0,0.2293037623167038,0.9489087462425232,0.9489087462425232,0.9985119104385376,0.9985119104385376,1913.0,1913.0,0.9881305694580078,8.0,8.0,0.14548327028751373,0.9881305694580078,0.9881305694580078,1.0,1.0,666.0,666.0
1,0.995039701461792,10.0,10.0,0.012198399752378464,0.995039701461792,0.995039701461792,0.9995039701461792,0.9995039701461792,2006.0,2006.0,0.5415430068969727,309.0,309.0,0.9899526238441467,0.5415430068969727,0.5415430068969727,0.783382773399353,0.783382773399353,365.0,365.0
2,0.9985119104385376,3.0,3.0,0.007314279209822416,0.9985119104385376,0.9985119104385376,1.0,1.0,2013.0,2013.0,0.9762611389160156,16.0,16.0,0.06811214238405228,0.9762611389160156,0.9762611389160156,1.0,1.0,658.0,658.0
3,0.9985119104385376,3.0,3.0,0.006136711221188307,0.9985119104385376,0.9985119104385376,0.9995039701461792,0.9995039701461792,2013.0,2013.0,0.998516321182251,1.0,1.0,0.004597988445311785,0.998516321182251,0.998516321182251,1.0,1.0,673.0,673.0
4,0.9990079402923584,2.0,2.0,0.004822441376745701,0.9990079402923584,0.9990079402923584,1.0,1.0,2014.0,2014.0,1.0,0.0,0.0,0.0015362333506345749,1.0,1.0,1.0,1.0,674.0,674.0
5,0.9965277910232544,7.0,7.0,0.008089852519333363,0.9965277910232544,0.9965277910232544,0.9995039701461792,0.9995039701461792,2009.0,2009.0,0.937685489654541,42.0,42.0,0.14449122548103333,0.937685489654541,0.937685489654541,0.9925816059112549,0.9925816059112549,632.0,632.0
6,0.9995039701461792,1.0,1.0,0.0017998542170971632,0.9995039701461792,0.9995039701461792,1.0,1.0,2015.0,2015.0,0.9925816059112549,5.0,5.0,0.015642639249563217,0.9925816059112549,0.9925816059112549,1.0,1.0,669.0,669.0
7,0.9995039701461792,1.0,1.0,0.001165488502010703,0.9995039701461792,0.9995039701461792,1.0,1.0,2015.0,2015.0,1.0,0.0,0.0,0.0005122324801050127,1.0,1.0,1.0,1.0,674.0,674.0
