epoch,accuracy,false_negatives,false_positives,loss,precision,recall,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
10,0.9274725317955017,66.0,66.0,0.2630765736103058,0.9274725317955017,0.9274725317955017,0.9879120588302612,0.9879120588302612,844.0,844.0,0.8799999952316284,42.0,42.0,0.6205133199691772,0.8799999952316284,0.8799999952316284,0.9628571271896362,0.9628571271896362,308.0,308.0
11,0.9241757988929749,69.0,69.0,0.21970734000205994,0.9241757988929749,0.9241757988929749,0.9857142567634583,0.9857142567634583,841.0,841.0,0.9371428489685059,22.0,22.0,0.18643884360790253,0.9371428489685059,0.9371428489685059,0.9828571677207947,0.9828571677207947,328.0,328.0
12,0.9318681359291077,62.0,62.0,0.22007781267166138,0.9318681359291077,0.9318681359291077,0.9835164546966553,0.9835164546966553,848.0,848.0,0.9485714435577393,18.0,18.0,0.16112549602985382,0.9485714435577393,0.9485714435577393,0.9942857027053833,0.9942857027053833,332.0,332.0
13,0.9351648092269897,59.0,59.0,0.2242228239774704,0.9351648092269897,0.9351648092269897,0.9857142567634583,0.9857142567634583,851.0,851.0,0.8742856979370117,44.0,44.0,0.8543734550476074,0.8742856979370117,0.8742856979370117,0.9342857003211975,0.9342857003211975,306.0,306.0
14,0.9208791255950928,72.0,72.0,0.2031382918357849,0.9208791255950928,0.9208791255950928,0.9890109896659851,0.9890109896659851,838.0,838.0,0.8171428442001343,64.0,64.0,1.7448275089263916,0.8171428442001343,0.8171428442001343,0.9142857193946838,0.9142857193946838,286.0,286.0
15,0.9296703338623047,64.0,64.0,0.18849210441112518,0.9296703338623047,0.9296703338623047,0.9912087917327881,0.9912087917327881,846.0,846.0,0.9457142949104309,19.0,19.0,0.2301609367132187,0.9457142949104309,0.9457142949104309,0.9828571677207947,0.9828571677207947,331.0,331.0
16,0.9252747297286987,68.0,68.0,0.19966557621955872,0.9252747297286987,0.9252747297286987,0.9879120588302612,0.9879120588302612,842.0,842.0,0.9142857193946838,30.0,30.0,0.29737427830696106,0.9142857193946838,0.9142857193946838,0.9685714244842529,0.9685714244842529,320.0,320.0
17,0.9461538195610046,49.0,49.0,0.16642235219478607,0.9461538195610046,0.9461538195610046,0.9912087917327881,0.9912087917327881,861.0,861.0,0.5,175.0,175.0,22.317276000976562,0.5,0.5,0.5028571486473083,0.5028571486473083,175.0,175.0
18,0.9461538195610046,49.0,49.0,0.23556452989578247,0.9461538195610046,0.9461538195610046,0.9813186526298523,0.9813186526298523,861.0,861.0,0.8028571605682373,69.0,69.0,1.3395718336105347,0.8028571605682373,0.8028571605682373,0.8714285492897034,0.8714285492897034,281.0,281.0
19,0.9395604133605957,55.0,55.0,0.1943816840648651,0.9395604133605957,0.9395604133605957,0.9890109896659851,0.9890109896659851,855.0,855.0,0.8028571605682373,69.0,69.0,0.789808452129364,0.8028571605682373,0.8028571605682373,0.8828571438789368,0.8828571438789368,281.0,281.0
